Distribution,n,Method,Coverage,AvgWidth,Bias,MSE,TypeIError,MCStdErrCoverage
Gamma,50,z-interval,0.935,0.3886056319815075,0.0007708392694063537,0.009928924627174556,0.0583,0.002465258607124209
Gamma,50,bootstrap,0.93,0.3806347128766774,0.0007708392694063537,0.009928924627174556,0.07,0.002551470164434614
Gamma,100,t-interval,0.9479,0.27846660070794216,-0.00013877592869504518,0.004938231775898735,0.0521,0.0022222868851703203
Gamma,100,z-interval,0.9451,0.27506291983268155,-0.00013877592869504518,0.004938231775898735,0.0521,0.002277849643852727
Gamma,100,bootstrap,0.9412,0.27099780027282894,-0.00013877592869504518,0.004938231775898735,0.0588,0.002352499946865036
Gamma,250,t-interval,0.9457,0.17562744576805522,-0.0004958770487831776,0.0020115198459082217,0.0543,0.0022660871563115136
Gamma,250,z-interval,0.9441,0.17477381310183582,-0.0004958770487831776,0.0020115198459082217,0.0543,0.002297285136851757
Gamma,250,bootstrap,0.9414,0.17273968850188276,-0.0004958770487831776,0.0020115198459082217,0.0586,0.0023487451969083405
Gamma,500,t-interval,0.9529,0.12415781705996055,0.00041766942841103827,0.00098885641066574,0.0471,0.002118527554694534
Gamma,500,z-interval,0.9524,0.12385667509880512,0.00041766942841103827,0.00098885641066574,0.0471,0.0021291838812089476
Gamma,500,bootstrap,0.9479,0.1226662023936987,0.00041766942841103827,0.00098885641066574,0.0521,0.0022222868851703203
LognormalModerate,25,t-interval,0.914,0.6704610716890392,0.0015386243149706491,0.030318120549970257,0.086,0.002803640490505157
LognormalModerate,25,z-interval,0.9032,0.6366977418260733,0.0015386243149706491,0.030318120549970257,0.086,0.002956852380488414
LognormalModerate,25,bootstrap,0.8986,0.6122676773464167,0.0015386243149706491,0.030318120549970257,0.1014,0.0030185764856965284
LognormalModerate,50,t-interval,0.9242,0.4764213651002349,0.0010059927160808169,0.015603444643015484,0.0758,0.002646778419135232
LognormalModerate,50,z-interval,0.9173,0.46465974490997175,0.0010059927160808169,0.015603444643015484,0.0758,0.0027542823021614905
